Nr.,rep,Pot,Column,Row,treatment,AMF,Hg_C,Leaf_Concentration,Leaf_Concentration_diff,Leaf_dry,Leaf_Content,Stem_Concentration,Stem_Concentration_diff,Stem_dry,Stem_Content,Root_Concentration,Root_Concentration_diff,Root_dry,Root_Content,Sand,Sand_Content,Above_Content,Above_Concentration,Bioaccumulation,Transfer_Factor
1,1,"B1_7,1",5,7,CK0,Control,0,2.3,0.2675,0.71,1.63,0.2,0.0075,0.62,0.13,0.82,0.1525,0.68,0.56,0,0,1.76,1.32,1.15,1.61
2,2,"B2_7,1",5,4,CK0,Control,0,1.82,-0.2125,0.67,1.22,0.23,0.0375,0.63,0.15,1.16,0.4925,0.65,0.76,0,0,1.37,1.05,1.09,0.9
3,4,"B4_7,1",5,5,CK0,Control,0,2.17,0.1375,0.67,1.45,0.19,-0.0025,0.65,0.12,0.37,-0.2975,0.67,0.25,0,0,1.58,1.2,0.92,3.22
4,5,"B5_7,1",1,4,CK0,Control,0,1.84,-0.1925,0.64,1.18,0.15,-0.0425,0.61,0.09,0.32,-0.3475,0.6,0.19,0,0,1.27,1.02,0.79,3.17
5,1,"B1_7,3",2,5,CK25,Control,25,2.82,0.7875,0.7,1.97,0.27,0.0775,0.69,0.18,9.54,8.8725,0.67,6.39,0.07,5.28,2.16,1.55,4.15,0.16
6,2,"B2_7,3",2,5,CK25,Control,25,2.19,0.1575,0.63,1.38,0.27,0.0775,0.62,0.17,7.53,6.8625,0.6,4.52,0.09,6.96,1.55,1.24,3.28,0.16
7,3,"B3_7,3",1,2,CK25,Control,25,1.99,-0.0425,0.64,1.27,0.34,0.1475,0.61,0.21,7.47,6.8025,0.59,4.41,0.04,2.8,1.48,1.19,3.2,0.16
8,4,B4_7.3,2,1,CK25,Control,25,1.57,-0.4625,0.61,0.96,0.24,0.0475,0.6,0.14,2.41,1.7425,0.59,1.42,0.05,3.6,1.1,0.91,1.4,0.38
9,1,"B1_7,4",1,1,CK25,Control,25,2.07,0.0375,0.59,1.22,0.42,0.2275,0.63,0.27,14.42,13.7525,0.62,8.94,0.15,11.84,1.49,1.22,5.67,0.08
10,2,"B2_7,4",1,3,CK50,Control,50,2.05,0.0175,0.64,1.31,0.32,0.1275,0.62,0.2,25.64,24.9725,0.63,16.15,0.15,11.76,1.51,1.2,9.35,0.05
11,3,"B3_7,4",3,2,CK50,Control,50,2.05,0.0175,0.6,1.23,0.3,0.1075,0.6,0.18,35.06,34.3925,0.6,21.04,0.13,10.64,1.41,1.18,12.47,0.03
12,4,"B4_7,4",1,2,CK50,Control,50,2.62,0.5875,0.69,1.81,0.49,0.2975,0.62,0.3,24.1,23.4325,0.62,14.94,0.11,8.48,2.11,1.61,8.84,0.07
13,5,"B5_7,4",4,4,CK50,Control,50,2.07,0.0375,0.67,1.39,0.5,0.3075,0.62,0.31,28.92,28.2525,0.61,17.64,0.12,9.44,1.7,1.31,10.18,0.05
14,2,"B2_1,1",1,2,AMF0,AMF,0,1.11,0.075,0.61,0.68,0.1,0,0.59,0.06,1.07,0.445,0.6,0.64,0,0,0.73,0.61,0.76,0.57
15,3,"B3_1,1",5,6,AMF0,AMF,0,1.36,0.325,0.6,0.82,0.11,0.01,0.6,0.06,0.22,-0.405,0.63,0.14,0,0,0.88,0.73,0.56,3.4
16,4,"B4_1,1",5,6,AMF0,AMF,0,0.75,-0.285,0.62,0.47,0.08,-0.02,0.6,0.05,0.1,-0.525,0.6,0.06,0,0,0.52,0.42,0.32,4.22
17,5,"B5_1,1",4,1,AMF0,AMF,0,0.92,-0.115,0.63,0.58,0.11,0.01,0.6,0.07,1.11,0.485,0.62,0.69,0,0,0.64,0.52,0.72,0.47
18,1,"B1_1,3",1,7,AMF25,AMF,25,1.07,0.035,0.62,0.66,0.46,0.36,0.59,0.27,6.59,5.965,0.6,3.95,0.08,6.4,0.94,0.77,2.7,0.12
19,2,"B2_1,3",5,1,AMF25,AMF,25,2.08,1.045,0.65,1.35,0.22,0.12,0.62,0.14,3.61,2.985,0.61,2.2,0.07,5.28,1.49,1.17,1.96,0.33
20,3,"B3_1,3",2,4,AMF25,AMF,25,1.06,0.025,0.62,0.66,0.09,-0.01,0.59,0.05,7.79,7.165,0.6,4.67,0.08,6.64,0.71,0.59,2.98,0.08
21,4,"B4_1,3",2,3,AMF25,AMF,25,1.08,0.045,0.61,0.66,0.2,0.1,0.62,0.13,7.36,6.735,0.59,4.34,0.06,5.04,0.78,0.64,2.82,0.09
22,5,"B5_1,3",1,5,AMF25,AMF,25,1.26,0.225,0.61,0.77,0.04,-0.06,0.59,0.02,13.5,12.875,0.59,7.97,0.09,7.44,0.79,0.66,4.89,0.05
23,1,"B1_1,4",3,3,AMF50,AMF,50,1.29,0.255,0.61,0.79,1.07,0.97,0.61,0.65,19.1,18.475,0.57,10.89,0.14,11.44,1.44,1.18,6.89,0.06
24,2,"B2_1,4",4,4,AMF50,AMF,50,1.37,0.335,0.63,0.86,0.27,0.17,0.61,0.16,19.2,18.575,0.58,11.14,0.23,18.24,1.03,0.83,6.68,0.04
25,3,"B3_1,4",1,3,AMF50,AMF,50,1.15,0.115,0.62,0.71,1.13,1.03,0.59,0.67,28.3,27.675,0.58,16.41,0.13,10.16,1.38,1.14,9.94,0.04
26,5,"B5_1,4",3,3,AMF50,AMF,50,1.19,0.155,0.63,0.75,0.98,0.88,0.59,0.58,20.8,20.175,0.6,12.48,0.17,13.92,1.33,1.09,7.59,0.05
