"","treatment","AMF_C","Hg_C","Root_dry","Shoot_dry","root_shoot_total"
"1","CK0","Control","0",0.68,1.33,2.01
"2","CK0","Control","0",0.65,1.3,1.95
"3","CK0","Control","0",0.67,1.32,1.99
"4","CK0","Control","0",0.6,1.25,1.85
"5","CK25","Control","25",0.67,1.39,2.06
"6","CK25","Control","25",0.6,1.25,1.85
"7","CK25","Control","25",0.59,1.25,1.84
"8","CK25","Control","25",0.59,1.21,1.8
"9","CK50","Control","50",0.62,1.22,1.84
"10","CK50","Control","50",0.63,1.26,1.89
"11","CK50","Control","50",0.6,1.2,1.8
"12","CK50","Control","50",0.62,1.31,1.93
"13","CK50","Control","50",0.61,1.29,1.9
"14","AMF0","AMF","0",0.6,1.2,1.8
"15","AMF0","AMF","0",0.63,1.2,1.83
"16","AMF0","AMF","0",0.6,1.22,1.82
"17","AMF0","AMF","0",0.62,1.23,1.85
"18","AMF25","AMF","25",0.6,1.21,1.81
"19","AMF25","AMF","25",0.61,1.27,1.88
"20","AMF25","AMF","25",0.6,1.21,1.81
"21","AMF25","AMF","25",0.59,1.23,1.82
"22","AMF25","AMF","25",0.59,1.2,1.79
"23","AMF50","AMF","50",0.57,1.22,1.79
"24","AMF50","AMF","50",0.58,1.24,1.82
"25","AMF50","AMF","50",0.58,1.21,1.79
"26","AMF50","AMF","50",0.6,1.22,1.82
